E:\DocsHouse\758>python3.13 cable_neuron.py
=======================================================
BiologicalCableNeuron — semi-implicit PDE + AIS grating
=======================================================
Device : cuda
Params : 71  (cable geometry + AIS + gamma + threshold)
Trial  : 200 steps × 0.5 ms = 100 ms
τ_m    ≈ 125 ms  (inter-pulse gap = 50 ms)

Temporal XOR requires physical wave interference.
A linear Fourier synthesizer cannot solve this task.
The cable nonlinearity is the computation.

ep 0000  loss 0.6918  acc 62.5%  best 62.5%  AIS@15.4  T=8.80
ep 0050  loss 0.1033  acc 100.0%  best 100.0%  AIS@10.8  T=6.16
ep 0100  loss 0.0224  acc 100.0%  best 100.0%  AIS@10.1  T=4.39
ep 0150  loss 0.0052  acc 100.0%  best 100.0%  AIS@9.9  T=3.21
ep 0200  loss 0.0009  acc 100.0%  best 100.0%  AIS@9.9  T=2.42
ep 0201  loss 0.0009  acc 100.0%  best 100.0%  AIS@9.9  T=2.40
ep 0202  loss 0.0009  acc 100.0%  best 100.0%  AIS@9.9  T=2.39
ep 0203  loss 0.0008  acc 100.0%  best 100.0%  AIS@9.9  T=2.38
ep 0204  loss 0.0008  acc 100.0%  best 100.0%  AIS@9.9  T=2.36
ep 0205  loss 0.0008  acc 100.0%  best 100.0%  AIS@9.9  T=2.35
ep 0206  loss 0.0008  acc 100.0%  best 100.0%  AIS@9.9  T=2.34
ep 0207  loss 0.0007  acc 100.0%  best 100.0%  AIS@9.9  T=2.33
ep 0208  loss 0.0007  acc 100.0%  best 100.0%  AIS@9.9  T=2.32
ep 0209  loss 0.0007  acc 100.0%  best 100.0%  AIS@9.9  T=2.30
ep 0210  loss 0.0006  acc 100.0%  best 100.0%  AIS@9.9  T=2.29
ep 0211  loss 0.0006  acc 100.0%  best 100.0%  AIS@9.9  T=2.28
ep 0212  loss 0.0006  acc 100.0%  best 100.0%  AIS@9.9  T=2.27
ep 0213  loss 0.0006  acc 100.0%  best 100.0%  AIS@9.9  T=2.26
ep 0214  loss 0.0006  acc 100.0%  best 100.0%  AIS@9.9  T=2.24
ep 0215  loss 0.0005  acc 100.0%  best 100.0%  AIS@9.9  T=2.23
ep 0216  loss 0.0005  acc 100.0%  best 100.0%  AIS@9.9  T=2.22
ep 0217  loss 0.0005  acc 100.0%  best 100.0%  AIS@9.9  T=2.21
ep 0218  loss 0.0005  acc 100.0%  best 100.0%  AIS@9.9  T=2.20
ep 0219  loss 0.0005  acc 100.0%  best 100.0%  AIS@9.9  T=2.19
ep 0220  loss 0.0004  acc 100.0%  best 100.0%  AIS@9.9  T=2.18
ep 0221  loss 0.0004  acc 100.0%  best 100.0%  AIS@9.9  T=2.17
ep 0222  loss 0.0004  acc 100.0%  best 100.0%  AIS@9.9  T=2.15
ep 0223  loss 0.0004  acc 100.0%  best 100.0%  AIS@9.9  T=2.14
ep 0224  loss 0.0004  acc 100.0%  best 100.0%  AIS@9.9  T=2.13
ep 0225  loss 0.0004  acc 100.0%  best 100.0%  AIS@9.9  T=2.12
ep 0226  loss 0.0004  acc 100.0%  best 100.0%  AIS@9.9  T=2.11
ep 0227  loss 0.0003  acc 100.0%  best 100.0%  AIS@9.9  T=2.10
ep 0228  loss 0.0003  acc 100.0%  best 100.0%  AIS@9.9  T=2.09
ep 0229  loss 0.0003  acc 100.0%  best 100.0%  AIS@9.9  T=2.08
ep 0230  loss 0.0003  acc 100.0%  best 100.0%  AIS@9.9  T=2.07
ep 0231  loss 0.0003  acc 100.0%  best 100.0%  AIS@9.9  T=2.06
ep 0232  loss 0.0003  acc 100.0%  best 100.0%  AIS@9.9  T=2.05
ep 0233  loss 0.0003  acc 100.0%  best 100.0%  AIS@9.9  T=2.04
ep 0234  loss 0.0003  acc 100.0%  best 100.0%  AIS@9.9  T=2.03
ep 0235  loss 0.0002  acc 100.0%  best 100.0%  AIS@9.9  T=2.02
ep 0236  loss 0.0002  acc 100.0%  best 100.0%  AIS@9.9  T=2.01
ep 0237  loss 0.0002  acc 100.0%  best 100.0%  AIS@9.9  T=2.00
ep 0238  loss 0.0002  acc 100.0%  best 100.0%  AIS@9.9  T=1.99
ep 0239  loss 0.0002  acc 100.0%  best 100.0%  AIS@9.9  T=1.98
ep 0240  loss 0.0002  acc 100.0%  best 100.0%  AIS@9.9  T=1.97
ep 0241  loss 0.0002  acc 100.0%  best 100.0%  AIS@9.9  T=1.96
ep 0242  loss 0.0002  acc 100.0%  best 100.0%  AIS@9.9  T=1.95
ep 0243  loss 0.0002  acc 100.0%  best 100.0%  AIS@9.9  T=1.95
ep 0244  loss 0.0002  acc 100.0%  best 100.0%  AIS@9.9  T=1.94
ep 0245  loss 0.0002  acc 100.0%  best 100.0%  AIS@9.9  T=1.93
ep 0246  loss 0.0002  acc 100.0%  best 100.0%  AIS@9.9  T=1.92
ep 0247  loss 0.0002  acc 100.0%  best 100.0%  AIS@9.9  T=1.91
ep 0248  loss 0.0001  acc 100.0%  best 100.0%  AIS@9.9  T=1.90
ep 0249  loss 0.0001  acc 100.0%  best 100.0%  AIS@9.9  T=1.89
ep 0250  loss 0.0001  acc 100.0%  best 100.0%  AIS@9.9  T=1.88
ep 0251  loss 0.0001  acc 100.0%  best 100.0%  AIS@9.9  T=1.87
ep 0252  loss 0.0001  acc 100.0%  best 100.0%  AIS@9.9  T=1.87
ep 0253  loss 0.0001  acc 100.0%  best 100.0%  AIS@9.9  T=1.86
ep 0254  loss 0.0001  acc 100.0%  best 100.0%  AIS@9.9  T=1.85
ep 0255  loss 0.0001  acc 100.0%  best 100.0%  AIS@9.9  T=1.84
ep 0256  loss 0.0001  acc 100.0%  best 100.0%  AIS@9.9  T=1.83
ep 0257  loss 0.0001  acc 100.0%  best 100.0%  AIS@9.9  T=1.82
ep 0258  loss 0.0001  acc 100.0%  best 100.0%  AIS@9.9  T=1.82
ep 0259  loss 0.0001  acc 100.0%  best 100.0%  AIS@9.9  T=1.81
ep 0260  loss 0.0001  acc 100.0%  best 100.0%  AIS@9.9  T=1.80
ep 0261  loss 0.0001  acc 100.0%  best 100.0%  AIS@9.9  T=1.79
ep 0262  loss 0.0001  acc 100.0%  best 100.0%  AIS@9.9  T=1.78
ep 0263  loss 0.0001  acc 100.0%  best 100.0%  AIS@9.9  T=1.78
ep 0264  loss 0.0001  acc 100.0%  best 100.0%  AIS@9.9  T=1.77
ep 0265  loss 0.0001  acc 100.0%  best 100.0%  AIS@9.9  T=1.76
ep 0266  loss 0.0001  acc 100.0%  best 100.0%  AIS@9.9  T=1.75
ep 0267  loss 0.0001  acc 100.0%  best 100.0%  AIS@9.9  T=1.75
ep 0268  loss 0.0001  acc 100.0%  best 100.0%  AIS@9.9  T=1.74
ep 0269  loss 0.0001  acc 100.0%  best 100.0%  AIS@9.9  T=1.73
ep 0270  loss 0.0001  acc 100.0%  best 100.0%  AIS@9.9  T=1.72
ep 0271  loss 0.0001  acc 100.0%  best 100.0%  AIS@9.9  T=1.72
ep 0272  loss 0.0001  acc 100.0%  best 100.0%  AIS@9.9  T=1.71
ep 0273  loss 0.0001  acc 100.0%  best 100.0%  AIS@9.9  T=1.70
ep 0274  loss 0.0001  acc 100.0%  best 100.0%  AIS@9.9  T=1.69
ep 0275  loss 0.0001  acc 100.0%  best 100.0%  AIS@9.9  T=1.69
ep 0276  loss 0.0000  acc 100.0%  best 100.0%  AIS@9.9  T=1.68
ep 0277  loss 0.0000  acc 100.0%  best 100.0%  AIS@9.9  T=1.67
ep 0278  loss 0.0000  acc 100.0%  best 100.0%  AIS@9.9  T=1.67
ep 0279  loss 0.0000  acc 100.0%  best 100.0%  AIS@9.9  T=1.66
ep 0280  loss 0.0000  acc 100.0%  best 100.0%  AIS@9.9  T=1.65
ep 0281  loss 0.0000  acc 100.0%  best 100.0%  AIS@9.9  T=1.64
ep 0282  loss 0.0000  acc 100.0%  best 100.0%  AIS@9.9  T=1.64
ep 0283  loss 0.0000  acc 100.0%  best 100.0%  AIS@9.9  T=1.63
ep 0284  loss 0.0000  acc 100.0%  best 100.0%  AIS@9.9  T=1.62
ep 0285  loss 0.0000  acc 100.0%  best 100.0%  AIS@9.9  T=1.62
ep 0286  loss 0.0000  acc 100.0%  best 100.0%  AIS@9.9  T=1.61
ep 0287  loss 0.0000  acc 100.0%  best 100.0%  AIS@9.9  T=1.61
ep 0288  loss 0.0000  acc 100.0%  best 100.0%  AIS@9.9  T=1.60
ep 0289  loss 0.0000  acc 100.0%  best 100.0%  AIS@9.9  T=1.59
